awayAbbrev,homeAbbrev,est,id
NJD,BUF,2024 October 04 13:00:00,2024020001
BUF,NJD,2024 October 05 10:00:00,2024020002
STL,SEA,2024 October 08 16:30:00,2024020003
BOS,FLA,2024 October 08 19:00:00,2024020004
CHI,UTA,2024 October 08 22:00:00,2024020005
TOR,MTL,2024 October 09 19:00:00,2024020006
NYR,PIT,2024 October 09 19:30:00,2024020007
WPG,EDM,2024 October 09 22:00:00,2024020008
CGY,VAN,2024 October 09 22:00:00,2024020009
COL,VGK,2024 October 09 22:00:00,2024020010
MTL,BOS,2024 October 10 19:00:00,2024020011
LAK,BUF,2024 October 10 19:00:00,2024020012
FLA,OTT,2024 October 10 19:00:00,2024020013
PIT,DET,2024 October 10 20:00:00,2024020014
TOR,NJD,2024 October 10 19:00:00,2024020015
UTA,NYI,2024 October 10 19:30:00,2024020016
DAL,NSH,2024 October 10 20:00:00,2024020017
CBJ,MIN,2024 October 10 20:00:00,2024020018
STL,SJS,2024 October 10 22:30:00,2024020019
TBL,CAR,2024 October 11 19:00:00,2024020020
CHI,WPG,2024 October 11 20:00:00,2024020021
PHI,VAN,2024 October 11 22:00:00,2024020022
STL,VGK,2024 October 11 22:00:00,2024020023
LAK,BOS,2024 October 12 13:00:00,2024020024
FLA,BUF,2024 October 12 19:00:00,2024020025
PIT,TOR,2024 October 12 19:00:00,2024020026
OTT,MTL,2024 October 12 19:00:00,2024020027
NSH,DET,2024 October 12 19:00:00,2024020028
CAR,TBL,2025 January 07 19:00:00,2024020029
UTA,NYR,2024 October 12 19:00:00,2024020030
NJD,WSH,2024 October 12 19:00:00,2024020031
NYI,DAL,2024 October 12 20:00:00,2024020032
SEA,MIN,2024 October 12 20:00:00,2024020033
CBJ,COL,2024 October 12 21:00:00,2024020034
PHI,CGY,2024 October 12 22:00:00,2024020035
CHI,EDM,2024 October 12 22:00:00,2024020036
ANA,SJS,2024 October 12 22:00:00,2024020037
MIN,WPG,2024 October 13 18:00:00,2024020038
SEA,DAL,2024 October 13 20:00:00,2024020039
CGY,EDM,2024 October 13 20:00:00,2024020040
ANA,VGK,2024 October 13 22:00:00,2024020041
FLA,BOS,2024 October 14 13:00:00,2024020042
LAK,OTT,2024 October 14 13:00:00,2024020043
UTA,NJD,2024 October 14 13:00:00,2024020044
DET,NYR,2024 October 14 19:00:00,2024020045
PIT,MTL,2024 October 14 19:30:00,2024020046
NYI,COL,2024 October 14 21:00:00,2024020047
VAN,TBL,2024 October 15 19:00:00,2024020048
VGK,WSH,2024 October 15 19:00:00,2024020049
