lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847804384793598481522,2024,Malenstyn/Krebs/Lafferty,BUF,line,5on5,19,5602.0,97.0,0.37,0.47,0.46,36.1,2.58,2.28,8.82,1.14,20.42,14.76,2.5,2.66,2.58,32.0,18.0,28.0,78.0,3.0,1.0,0.0,11.0,0.0,12.0,23.0,29.0,47.0,16.0,35.0,57.0,67.0,6.0,27.0,40.0,7.0,3.0,0.99,0.88,0.71,2.0,1.0,0.0,80.6,50.0,51.27,15.0,0.47,0.28,0.28,2.77,2.85,2.77,45.01,4.3,2.82,11.17,1.47,21.97,17.27,4.12,4.14,3.96,38.0,21.0,29.0,88.0,3.0,6.0,1.0,5.0,0.0,22.0,23.0,35.0,56.0,10.0,23.0,38.0,62.0,7.0,19.0,39.0,14.0,6.0,1.0,1.78,1.53,0.0,2.0,1.0,83.78,59.0,56.52,11.0,0.59,1.44,1.44,3.46,3.36,3.32
847531484757548478445,2024,Lee/Nelson/Barzal,NYI,line,5on5,12,3666.0,103.0,0.62,0.6,0.56,39.41,3.55,2.5,10.63,1.43,21.27,15.62,3.35,3.73,3.52,38.0,17.0,31.0,86.0,7.0,5.0,0.0,7.0,0.0,18.0,18.0,31.0,48.0,0.0,0.0,30.0,18.0,1.0,12.0,39.0,12.0,4.0,1.17,1.41,0.96,4.0,3.0,0.0,89.53,55.0,57.42,5.0,0.53,0.83,0.83,3.24,3.41,3.27,32.28,2.15,1.96,8.09,0.98,17.15,12.68,2.11,2.09,2.05,28.0,15.0,14.0,57.0,2.0,3.0,0.0,5.0,0.0,15.0,18.0,26.0,41.0,2.0,4.0,32.0,20.0,4.0,25.0,34.0,7.0,2.0,0.93,0.79,0.43,0.0,1.0,1.0,55.44,43.0,42.15,15.0,0.41,0.46,0.46,2.1,2.04,2.03
84815468482142,2024,York/Drysdale,PHI,pairing,5on5,20,1243.0,164.0,0.48,0.56,0.48,8.0,0.74,0.57,2.12,0.33,4.64,3.58,0.71,0.77,0.74,8.0,4.0,10.0,22.0,0.0,1.0,0.0,2.0,0.0,3.0,6.0,8.0,12.0,1.0,2.0,5.0,10.0,0.0,4.0,10.0,1.0,1.0,0.28,0.08,0.38,0.0,0.0,0.0,22.52,12.0,12.18,2.0,0.12,0.38,0.38,0.48,0.5,0.49,9.36,0.81,0.64,2.01,0.3,5.16,4.07,0.81,0.81,0.81,8.0,5.0,4.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,10.0,1.0,2.0,3.0,8.0,3.0,7.0,9.0,4.0,0.0,0.37,0.44,0.0,1.0,2.0,0.0,17.14,13.0,13.16,3.0,0.13,0.0,0.0,0.94,0.94,0.94
84793258479369,2024,McAvoy/Peeke,BOS,pairing,5on5,29,1257.0,249.0,0.52,0.35,0.39,8.43,0.61,0.49,2.07,0.24,4.06,3.53,0.58,0.59,0.56,9.0,2.0,1.0,12.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0,9.0,11.0,2.0,4.0,2.0,7.0,3.0,3.0,9.0,1.0,1.0,0.18,0.09,0.34,0.0,0.0,0.0,11.79,11.0,10.92,1.0,0.1,0.34,0.34,0.37,0.37,0.36,12.05,0.57,0.59,2.99,0.39,6.61,5.86,0.57,0.59,0.59,11.0,6.0,5.0,22.0,2.0,0.0,0.0,2.0,0.0,4.0,9.0,9.0,15.0,1.0,2.0,0.0,7.0,1.0,6.0,15.0,2.0,0.0,0.31,0.26,0.0,1.0,1.0,0.0,22.47,17.0,17.59,2.0,0.12,0.0,0.0,0.69,0.72,0.72
84765258480145,2024,Pionk/Miller,WPG,pairing,5on5,21,1667.0,187.0,0.71,0.46,0.5,12.96,1.55,0.96,3.32,0.54,6.07,4.56,1.43,1.59,1.47,10.0,7.0,5.0,22.0,3.0,4.0,0.0,0.0,0.0,1.0,9.0,7.0,14.0,0.0,0.0,3.0,4.0,4.0,4.0,10.0,5.0,2.0,0.29,0.67,0.59,1.0,2.0,0.0,22.28,17.0,17.16,4.0,0.21,0.82,0.82,0.94,0.97,0.95,11.95,0.64,0.7,2.98,0.42,6.84,5.43,0.63,0.61,0.6,11.0,6.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,11.0,17.0,2.0,4.0,8.0,14.0,3.0,7.0,14.0,3.0,0.0,0.31,0.33,0.0,0.0,0.0,0.0,25.56,17.0,16.76,4.0,0.14,0.0,0.0,0.78,0.75,0.74
847515184757548478115,2024,Engvall/Nelson/Palmieri,NYI,line,5on5,15,1517.0,155.0,0.2,0.27,0.27,9.7,0.68,0.56,2.78,0.34,5.01,3.63,0.67,0.64,0.63,11.0,2.0,4.0,17.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,11.0,13.0,2.0,4.0,8.0,5.0,3.0,5.0,11.0,1.0,1.0,0.26,0.14,0.28,0.0,0.0,0.0,16.21,13.0,12.34,2.0,0.12,0.33,0.33,0.47,0.45,0.44,26.44,2.65,1.76,6.7,0.87,14.28,9.75,2.57,2.68,2.61,26.0,10.0,10.0,46.0,2.0,5.0,1.0,3.0,0.0,16.0,10.0,24.0,34.0,2.0,4.0,8.0,14.0,7.0,3.0,24.0,10.0,2.0,0.52,1.5,0.62,1.0,0.0,1.0,48.91,36.0,37.27,1.0,0.37,1.14,1.14,1.87,1.91,1.9
84751798477220,2024,Schmidt/Kulikov,FLA,pairing,5on5,41,3306.0,290.0,0.42,0.45,0.38,11.89,0.79,0.72,2.95,0.39,6.83,5.31,0.79,0.83,0.83,11.0,6.0,14.0,31.0,2.0,0.0,0.0,6.0,0.0,5.0,4.0,9.0,15.0,2.0,4.0,14.0,19.0,9.0,16.0,15.0,1.0,1.0,0.47,0.1,0.22,2.0,0.0,0.0,32.66,17.0,17.66,8.0,0.15,0.0,0.0,0.94,0.98,0.98,19.48,1.1,1.06,5.16,0.64,11.48,8.56,1.1,1.13,1.12,15.0,13.0,10.0,38.0,0.0,1.0,0.0,5.0,0.0,9.0,13.0,15.0,28.0,2.0,4.0,11.0,26.0,5.0,17.0,25.0,2.0,1.0,0.52,0.23,0.35,0.0,0.0,0.0,38.62,28.0,28.24,8.0,0.21,0.12,0.12,1.2,1.22,1.21
847398684827458483445,2024,Gauthier/McTavish/Killorn,ANA,line,5on5,9,991.0,90.0,0.81,0.68,0.82,6.41,0.46,0.5,1.59,0.2,3.79,2.47,0.46,0.42,0.42,4.0,5.0,6.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,4.0,9.0,1.0,2.0,8.0,3.0,3.0,2.0,7.0,2.0,0.0,0.25,0.21,0.0,0.0,0.0,0.0,13.93,9.0,8.32,0.0,0.1,0.0,0.0,0.56,0.52,0.52,1.46,0.11,0.07,0.29,0.04,0.86,0.63,0.11,0.11,0.11,2.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,9.0,10.0,2.0,5.0,2.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,7.54,2.0,2.13,3.0,0.01,0.0,0.0,0.12,0.13,0.13
847415784775038478904,2024,Pacioretty/Domi/Lorentz,TOR,line,5on5,2,670.0,24.0,0.44,0.53,0.54,5.37,0.36,0.31,1.38,0.16,2.56,2.24,0.36,0.37,0.37,5.0,2.0,3.0,10.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,5.0,7.0,0.0,0.0,6.0,8.0,3.0,2.0,5.0,2.0,0.0,0.08,0.28,0.0,0.0,0.0,0.0,10.09,7.0,7.08,1.0,0.06,0.16,0.16,0.27,0.27,0.27,4.27,0.46,0.36,0.86,0.15,2.54,1.63,0.45,0.46,0.45,3.0,3.0,3.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,6.0,1.0,2.0,5.0,6.0,0.0,2.0,4.0,1.0,1.0,0.16,0.09,0.22,0.0,0.0,0.0,9.07,6.0,6.1,2.0,0.07,0.22,0.22,0.32,0.31,0.31
84752188480803,2024,Ekholm/Bouchard,EDM,pairing,5on5,50,48549.0,51.0,0.6,0.61,0.6,503.8,43.81,32.34,125.6,16.49,268.81,198.96,42.31,43.88,42.38,469.0,217.0,279.0,965.0,40.0,52.0,6.0,110.0,0.0,229.0,255.0,429.0,646.0,31.0,70.0,416.0,148.0,82.0,219.0,518.0,122.0,46.0,15.75,15.02,13.05,16.0,18.0,6.0,965.48,686.0,689.09,86.0,6.72,10.83,10.97,39.56,39.72,38.97,338.4,29.01,21.0,85.71,11.32,179.9,133.05,28.26,28.91,28.16,303.0,157.0,161.0,621.0,28.0,29.0,3.0,62.0,0.0,131.0,210.0,275.0,432.0,54.0,114.0,412.0,247.0,69.0,215.0,343.0,89.0,28.0,10.07,11.01,7.93,13.0,10.0,5.0,617.32,460.0,458.29,94.0,4.37,6.65,6.65,26.73,26.67,26.27
