playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2024,Igor Shesterkin,NYR,G,other,37,3139.0,9.72,10.0,95.0,4.5,6.0,11.95,5.0,58.67,52.0,1.32,0.0,31.43,27.0,17.41,29.0,8.97,44.0,19.0,14.0,1.62,2.43,5.67,3.0,0.0,7.0,18.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,all,37,127183.0,114.82,102.0,2238.0,82.74,128.0,289.65,202.0,1202.69,1092.0,37.03,3.0,642.14,490.0,457.66,703.0,108.89,1171.0,319.0,137.0,32.82,40.07,41.93,34.0,45.0,23.0,611.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,5on5,37,102975.0,83.1,76.0,1790.0,60.32,94.0,234.43,163.0,939.58,855.0,28.72,3.0,499.54,363.0,368.25,580.0,79.76,936.0,248.0,93.0,26.19,31.19,25.72,29.0,37.0,10.0,513.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,4on5,37,11684.0,19.99,14.0,314.0,16.94,27.0,40.17,33.0,181.46,164.0,1.26,0.0,104.19,96.0,55.73,72.0,18.18,167.0,48.0,28.0,4.3,5.98,9.71,1.0,7.0,6.0,71.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,5on4,37,9385.0,2.01,2.0,39.0,0.98,1.0,3.09,1.0,22.98,21.0,5.73,0.0,6.98,4.0,16.28,22.0,1.98,24.0,4.0,2.0,0.71,0.47,0.83,1.0,1.0,0.0,9.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,other,31,2678.0,6.1,4.0,83.0,3.05,4.0,8.87,10.0,44.22,41.0,0.57,0.0,25.01,20.0,14.44,21.0,5.5,35.0,14.0,10.0,1.21,1.76,3.12,1.0,1.0,2.0,24.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,all,31,108660.0,86.56,75.0,1747.0,58.84,80.0,221.3,175.0,905.26,840.0,31.59,5.0,479.91,428.0,347.91,464.0,83.22,880.0,260.0,85.0,26.6,32.16,27.8,24.0,22.0,29.0,522.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,5on5,31,88565.0,57.86,49.0,1328.0,40.91,62.0,174.18,138.0,680.34,624.0,26.89,5.0,356.86,308.0,271.16,365.0,56.4,687.0,185.0,52.0,20.24,23.22,14.4,19.0,17.0,13.0,404.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,4on5,31,9161.0,20.1,17.0,299.0,13.68,13.0,33.75,26.0,156.9,147.0,0.57,0.0,89.82,94.0,48.56,60.0,18.86,141.0,48.0,22.0,4.46,5.62,10.02,2.0,1.0,14.0,88.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,5on4,31,8256.0,1.15,2.0,24.0,0.58,0.0,2.49,1.0,13.21,17.0,3.36,0.0,4.18,4.0,9.14,11.0,1.14,13.0,4.0,1.0,0.47,0.43,0.26,2.0,0.0,0.0,6.0,0.0,0.0
