,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
0,847689784820778482737,2024,Holloway/Sundqvist/Bolduc,STL,line,5on5,13,3354.0,105.0,0.67,0.47,0.48,25.19,2.74,1.77,5.78,0.73,12.59,9.39,2.65,2.84,2.74,26.0,7.0,16.0,49.0,2.0,3.0,0.0,4.0,0.0,7.0,17.0,24.0,31.0,5.0,10.0,11.0,23.0,7.0,16.0,23.0,4.0,6.0,0.78,0.48,1.48,0.0,1.0,1.0,50.51,33.0,33.78,7.0,0.37,0.82,0.82,2.29,2.37,2.35,26.12,1.36,1.47,6.56,0.77,15.12,10.73,1.32,1.39,1.34,22.0,14.0,19.0,55.0,2.0,0.0,0.0,4.0,0.0,14.0,16.0,20.0,34.0,0.0,0.0,31.0,26.0,5.0,13.0,31.0,5.0,0.0,0.77,0.59,0.0,1.0,1.0,0.0,54.67,36.0,35.85,4.0,0.3,0.0,0.0,1.66,1.69,1.63
1,847572284808028484145,2024,Benson/McLeod/Zucker,BUF,line,5on5,8,960.0,86.0,0.4,0.45,0.5,7.69,0.56,0.53,1.71,0.28,4.25,3.68,0.55,0.54,0.54,8.0,3.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,8.0,11.0,0.0,0.0,9.0,7.0,3.0,3.0,9.0,1.0,1.0,0.24,0.11,0.21,0.0,0.0,0.0,13.32,11.0,10.84,1.0,0.11,0.0,0.0,0.67,0.65,0.64,8.25,0.85,0.47,2.04,0.24,4.33,3.07,0.85,0.88,0.88,10.0,1.0,6.0,17.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,8.0,9.0,0.0,0.0,4.0,6.0,2.0,4.0,10.0,0.0,1.0,0.39,0.0,0.46,1.0,0.0,1.0,16.38,11.0,10.48,2.0,0.1,0.0,0.0,0.95,0.98,0.98
2,84808078480839,2024,Dahlin/Samuelsson,BUF,pairing,5on5,28,2446.0,221.0,0.65,0.63,0.66,31.36,2.78,2.01,7.85,1.05,16.88,12.43,2.67,2.81,2.71,26.0,17.0,14.0,57.0,2.0,3.0,0.0,4.0,0.0,15.0,19.0,24.0,41.0,4.0,8.0,8.0,18.0,3.0,10.0,30.0,10.0,3.0,0.79,1.12,0.86,2.0,0.0,0.0,57.06,43.0,42.81,6.0,0.42,0.82,0.82,2.37,2.4,2.37,16.28,1.51,0.98,3.63,0.47,8.73,6.66,1.5,1.53,1.52,12.0,10.0,12.0,34.0,3.0,1.0,0.0,1.0,0.0,9.0,8.0,9.0,19.0,8.0,16.0,14.0,13.0,2.0,9.0,16.0,5.0,1.0,0.46,0.64,0.41,2.0,1.0,0.0,33.82,22.0,22.03,6.0,0.2,0.41,0.41,1.31,1.33,1.33
3,84815468482142,2024,York/Drysdale,PHI,pairing,5on5,23,1407.0,192.0,0.41,0.55,0.47,9.33,0.84,0.67,2.43,0.39,5.48,4.18,0.81,0.86,0.82,8.0,6.0,12.0,26.0,0.0,1.0,0.0,2.0,0.0,5.0,6.0,8.0,14.0,1.0,2.0,7.0,10.0,0.0,4.0,11.0,2.0,1.0,0.3,0.17,0.38,0.0,0.0,0.0,25.95,14.0,13.94,2.0,0.14,0.38,0.38,0.61,0.6,0.6,11.28,1.19,0.79,2.56,0.4,6.17,4.88,1.19,1.21,1.2,10.0,6.0,5.0,21.0,3.0,1.0,0.0,0.0,0.0,4.0,8.0,7.0,13.0,1.0,2.0,4.0,8.0,3.0,8.0,11.0,4.0,1.0,0.4,0.44,0.36,1.0,2.0,0.0,21.67,16.0,16.31,3.0,0.16,0.36,0.36,1.0,1.0,1.0
4,84793258479369,2024,McAvoy/Peeke,BOS,pairing,5on5,30,1302.0,260.0,0.52,0.35,0.39,8.43,0.61,0.49,2.07,0.24,4.06,3.53,0.58,0.59,0.56,9.0,2.0,1.0,12.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0,9.0,11.0,2.0,4.0,2.0,7.0,3.0,3.0,9.0,1.0,1.0,0.18,0.09,0.34,0.0,0.0,0.0,11.79,11.0,10.92,1.0,0.1,0.34,0.34,0.37,0.37,0.36,12.05,0.57,0.59,2.99,0.39,6.61,5.86,0.57,0.59,0.59,11.0,6.0,5.0,22.0,2.0,0.0,0.0,2.0,0.0,4.0,9.0,9.0,15.0,1.0,2.0,0.0,8.0,1.0,6.0,15.0,2.0,0.0,0.31,0.26,0.0,1.0,1.0,0.0,22.47,17.0,17.59,2.0,0.12,0.0,0.0,0.69,0.72,0.72
5,847644884781098481604,2024,Olofsson/Karlsson/Dorofeyev,VGK,line,5on5,7,700.0,93.0,0.16,0.39,0.27,4.26,0.16,0.2,1.22,0.15,2.48,1.79,0.16,0.18,0.18,4.0,2.0,6.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,3.0,4.0,2.0,4.0,6.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,0.0,12.5,6.0,6.47,3.0,0.04,0.0,0.0,0.2,0.22,0.22,11.6,0.85,0.72,2.32,0.34,6.68,5.09,0.85,0.85,0.85,10.0,6.0,3.0,19.0,1.0,0.0,0.0,3.0,0.0,2.0,10.0,9.0,15.0,0.0,0.0,4.0,2.0,1.0,1.0,12.0,4.0,0.0,0.28,0.57,0.0,0.0,1.0,0.0,18.7,16.0,15.6,1.0,0.15,0.0,0.0,1.0,1.0,1.0
6,847515184757548478115,2024,Engvall/Nelson/Palmieri,NYI,line,5on5,15,1517.0,155.0,0.2,0.27,0.27,9.7,0.68,0.56,2.78,0.34,5.01,3.63,0.67,0.64,0.63,11.0,2.0,4.0,17.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,11.0,13.0,2.0,4.0,8.0,5.0,3.0,5.0,11.0,1.0,1.0,0.26,0.14,0.28,0.0,0.0,0.0,16.21,13.0,12.34,2.0,0.12,0.33,0.33,0.47,0.45,0.44,26.44,2.65,1.76,6.7,0.87,14.28,9.75,2.57,2.68,2.61,26.0,10.0,10.0,46.0,2.0,5.0,1.0,3.0,0.0,16.0,10.0,24.0,34.0,2.0,4.0,8.0,14.0,7.0,3.0,24.0,10.0,2.0,0.52,1.5,0.62,1.0,0.0,1.0,48.91,36.0,37.27,1.0,0.37,1.14,1.14,1.87,1.91,1.9
7,84751798477220,2024,Kulikov/Schmidt,FLA,pairing,5on5,43,3355.0,312.0,0.41,0.46,0.38,12.63,0.8,0.76,3.11,0.42,7.28,5.63,0.8,0.84,0.84,11.0,7.0,15.0,33.0,2.0,0.0,0.0,7.0,0.0,5.0,4.0,9.0,16.0,2.0,4.0,14.0,19.0,9.0,16.0,16.0,1.0,1.0,0.48,0.1,0.22,2.0,0.0,0.0,34.76,18.0,18.71,8.0,0.16,0.0,0.0,0.96,1.0,1.0,20.01,1.17,1.11,5.25,0.66,11.94,8.87,1.16,1.19,1.19,16.0,13.0,10.0,39.0,1.0,1.0,0.0,5.0,0.0,9.0,13.0,15.0,28.0,2.0,4.0,11.0,27.0,5.0,17.0,26.0,2.0,1.0,0.58,0.23,0.35,1.0,0.0,0.0,39.72,29.0,29.34,8.0,0.22,0.12,0.12,1.27,1.3,1.29
8,84752798482762,2024,Chiarot/Edvinsson,DET,pairing,5on5,41,2453.0,282.0,0.59,0.46,0.48,23.17,2.86,1.54,5.97,0.83,11.13,8.68,2.72,2.72,2.58,20.0,11.0,8.0,39.0,3.0,7.0,1.0,5.0,0.0,2.0,14.0,17.0,28.0,1.0,2.0,4.0,9.0,4.0,10.0,19.0,7.0,5.0,0.43,0.78,1.65,1.0,1.0,1.0,37.87,31.0,30.23,6.0,0.32,1.75,1.75,1.44,1.42,1.41,25.09,1.96,1.49,5.96,0.81,13.35,10.45,1.9,1.96,1.9,23.0,11.0,11.0,45.0,1.0,2.0,0.0,3.0,0.0,13.0,15.0,22.0,33.0,0.0,0.0,2.0,20.0,5.0,14.0,28.0,4.0,2.0,0.77,0.56,0.63,1.0,0.0,0.0,44.89,34.0,33.96,9.0,0.31,0.48,0.48,1.78,1.78,1.74
9,847688084782338478440,2024,Mangiapane/Strome/Wilson,WSH,line,5on5,8,1973.0,81.0,0.41,0.44,0.43,11.29,1.11,0.78,2.89,0.38,6.29,4.55,1.06,1.07,1.02,12.0,4.0,6.0,22.0,0.0,1.0,0.0,2.0,0.0,8.0,5.0,12.0,16.0,1.0,2.0,23.0,13.0,2.0,5.0,11.0,4.0,1.0,0.34,0.44,0.34,0.0,0.0,0.0,21.47,16.0,15.58,0.0,0.16,0.34,0.34,0.94,0.91,0.88,16.23,1.59,0.89,4.49,0.54,7.47,6.01,1.51,1.59,1.51,11.0,10.0,7.0,28.0,1.0,3.0,1.0,1.0,0.0,7.0,9.0,10.0,20.0,2.0,4.0,20.0,11.0,2.0,4.0,15.0,4.0,2.0,0.41,0.68,0.5,0.0,0.0,1.0,27.45,21.0,20.79,1.0,0.19,0.65,0.65,1.14,1.14,1.13
