team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2024,TBL,TBL,Team Level,other,51,0.54,0.56,0.55,6720.0,101.36,25.82,8.19,17.42,3.3,54.89,25.38,24.38,25.82,24.38,99.0,36.0,61.0,196.0,26.0,9.0,0.0,19.0,0.0,49.0,32.0,73.0,109.0,3.0,6.0,72.0,13.0,4.0,23.0,63.0,37.0,35.0,2.39,4.8,18.63,4.0,4.0,18.0,196.0,135.0,135.0,8.0,2.43,2.67,2.67,25.58,25.58,24.36,80.19,22.32,5.53,13.44,2.78,40.99,26.95,20.09,22.32,20.09,68.0,44.0,41.0,153.0,20.0,4.0,0.0,8.0,2.0,40.0,38.0,48.0,92.0,2.0,4.0,83.0,21.0,6.0,23.0,51.0,25.0,36.0,1.95,3.37,16.99,2.0,4.0,14.0,153.0,112.0,112.0,8.0,1.59,1.25,1.25,22.65,22.65,20.83
TBL,2024,TBL,TBL,Team Level,all,51,0.53,0.51,0.51,185077.0,1604.44,169.82,113.31,376.1,52.89,859.33,614.56,162.74,171.15,163.99,1490.0,696.0,867.0,3053.0,176.0,149.0,17.0,327.0,3.0,690.0,841.0,1314.0,2010.0,168.0,385.0,1507.0,908.0,215.0,759.0,1565.0,434.0,187.0,45.59,55.12,69.1,61.0,59.0,56.0,3091.55,2186.0,2205.05,327.0,25.44,32.76,32.76,162.5,163.66,160.0,1538.81,148.1,104.02,379.48,52.03,828.12,603.26,140.31,147.2,139.52,1450.0,665.0,803.0,2918.0,142.0,145.0,13.0,319.0,6.0,635.0,868.0,1308.0,1973.0,182.0,413.0,1465.0,1224.0,235.0,755.0,1578.0,376.0,161.0,44.61,46.16,57.33,60.0,48.0,34.0,2883.21,2115.0,2101.12,368.0,22.98,28.42,28.42,142.66,142.03,137.46
TBL,2024,TBL,TBL,Team Level,5on5,51,0.52,0.5,0.5,152089.0,1260.01,108.34,83.49,312.45,41.69,676.67,503.35,104.36,109.67,105.61,1156.0,570.0,691.0,2417.0,108.0,112.0,11.0,267.0,3.0,538.0,698.0,1048.0,1618.0,151.0,351.0,1194.0,856.0,195.0,667.0,1294.0,326.0,106.0,37.55,41.37,29.42,50.0,44.0,14.0,2455.55,1726.0,1745.05,298.0,17.39,22.51,22.51,103.22,104.38,102.73,1248.9,100.89,79.65,321.54,42.02,673.36,500.55,96.87,100.0,96.08,1178.0,540.0,660.0,2378.0,94.0,114.0,8.0,280.0,3.0,514.0,713.0,1084.0,1624.0,164.0,374.0,1164.0,1154.0,213.0,672.0,1324.0,299.0,95.0,37.16,36.11,27.62,51.0,34.0,9.0,2343.21,1718.0,1704.12,337.0,16.54,22.98,22.98,94.45,93.82,92.26
TBL,2024,TBL,TBL,Team Level,4on5,51,0.15,0.15,0.17,12774.0,38.89,3.86,2.29,5.3,1.26,11.95,26.33,3.8,3.86,3.8,44.0,7.0,10.0,61.0,7.0,4.0,1.0,6.0,0.0,7.0,27.0,37.0,44.0,5.0,10.0,122.0,30.0,10.0,26.0,33.0,14.0,4.0,1.04,1.74,1.08,3.0,3.0,1.0,61.0,51.0,51.0,17.0,0.52,0.66,0.66,3.73,3.73,3.7,179.24,22.44,17.22,39.86,6.21,103.12,54.15,20.93,22.44,20.93,167.0,76.0,97.0,340.0,22.0,26.0,4.0,29.0,1.0,79.0,86.0,145.0,221.0,10.0,23.0,105.0,15.0,8.0,41.0,170.0,43.0,30.0,4.36,5.36,12.72,4.0,7.0,11.0,340.0,243.0,243.0,4.0,4.48,4.12,4.12,22.8,22.8,21.64
TBL,2024,TBL,TBL,Team Level,5on4,51,0.93,0.89,0.87,13494.0,204.18,31.79,19.35,40.92,6.63,115.82,59.49,30.2,31.79,30.2,191.0,83.0,105.0,379.0,35.0,24.0,5.0,35.0,0.0,96.0,84.0,156.0,239.0,9.0,18.0,119.0,9.0,6.0,43.0,175.0,57.0,42.0,4.61,7.22,19.97,4.0,8.0,23.0,379.0,274.0,274.0,4.0,5.1,6.92,6.92,29.97,29.97,29.21,30.48,2.45,1.61,4.65,1.01,10.65,21.62,2.43,2.45,2.43,37.0,5.0,5.0,47.0,6.0,1.0,1.0,2.0,0.0,2.0,31.0,31.0,36.0,6.0,12.0,113.0,34.0,8.0,19.0,33.0,9.0,0.0,1.14,1.31,0.0,3.0,3.0,0.0,47.0,42.0,42.0,19.0,0.37,0.07,0.07,2.76,2.76,2.74
CAR,2024,CAR,CAR,Team Level,other,53,0.52,0.56,0.58,7525.0,112.17,25.31,7.48,20.78,3.78,62.09,37.56,23.98,25.31,23.98,106.0,51.0,56.0,213.0,23.0,8.0,3.0,15.0,1.0,57.0,53.0,83.0,134.0,3.0,6.0,90.0,17.0,17.0,22.0,84.0,37.0,36.0,3.54,4.12,17.64,1.0,5.0,17.0,213.0,157.0,157.0,10.0,2.18,1.97,1.97,25.52,25.52,24.38,82.62,23.02,5.69,14.5,2.85,42.25,24.7,21.87,23.02,21.87,74.0,39.0,53.0,166.0,17.0,8.0,0.0,15.0,1.0,41.0,31.0,57.0,96.0,5.0,10.0,81.0,10.0,6.0,17.0,53.0,23.0,37.0,2.09,2.81,18.11,3.0,0.0,14.0,166.0,113.0,113.0,8.0,1.71,2.37,2.37,22.34,22.34,21.33
CAR,2024,CAR,CAR,Team Level,all,53,0.56,0.58,0.58,192124.0,1951.43,189.12,128.33,485.36,65.67,1059.99,753.53,179.99,190.42,181.23,1681.0,1001.0,1027.0,3709.0,176.0,212.0,20.0,363.0,6.0,914.0,1011.0,1505.0,2506.0,171.0,359.0,1691.0,995.0,298.0,832.0,1974.0,500.0,208.0,55.69,62.13,71.3,58.0,65.0,53.0,3747.21,2682.0,2704.43,362.0,28.45,38.12,38.2,179.37,180.52,174.44,1437.03,149.82,98.77,339.84,48.31,764.8,552.47,142.84,149.56,142.61,1323.0,631.0,680.0,2634.0,144.0,153.0,13.0,262.0,7.0,568.0,820.0,1179.0,1810.0,172.0,375.0,1535.0,1225.0,289.0,842.0,1377.0,389.0,188.0,39.35,47.46,63.01,52.0,49.0,43.0,2619.05,1954.0,1950.21,407.0,22.09,33.55,33.55,138.35,138.19,134.89
CAR,2024,CAR,CAR,Team Level,5on5,53,0.57,0.59,0.58,154742.0,1540.82,129.05,96.77,403.47,52.4,831.87,607.45,123.96,130.35,125.2,1299.0,822.0,866.0,2987.0,116.0,183.0,15.0,295.0,4.0,713.0,810.0,1183.0,2005.0,151.0,319.0,1336.0,931.0,249.0,732.0,1600.0,391.0,130.0,44.12,48.98,35.95,52.0,45.0,19.0,3025.21,2121.0,2143.43,320.0,20.15,33.63,33.7,115.5,116.64,114.4,1115.18,98.98,72.31,273.66,37.29,594.4,442.35,95.82,98.72,95.58,1029.0,490.0,546.0,2065.0,108.0,104.0,11.0,207.0,6.0,426.0,668.0,921.0,1411.0,156.0,343.0,1176.0,1137.0,256.0,743.0,1109.0,299.0,111.0,31.68,36.91,30.39,46.0,43.0,19.0,2050.05,1519.0,1515.21,367.0,15.04,23.4,23.4,90.61,90.46,89.23
CAR,2024,CAR,CAR,Team Level,4on5,53,0.15,0.14,0.16,14781.0,39.3,4.12,2.05,5.41,1.17,12.64,26.61,4.1,4.12,4.1,41.0,11.0,6.0,58.0,6.0,1.0,0.0,1.0,0.0,11.0,33.0,35.0,46.0,6.0,12.0,113.0,31.0,16.0,28.0,32.0,15.0,5.0,0.89,1.98,1.25,0.0,6.0,0.0,58.0,52.0,52.0,23.0,0.47,0.29,0.29,4.29,4.29,4.29,203.08,23.91,18.89,46.05,7.01,116.79,61.35,21.44,23.91,21.44,182.0,92.0,71.0,345.0,17.0,38.0,1.0,38.0,0.0,94.0,87.0,165.0,257.0,7.0,14.0,152.0,33.0,9.0,49.0,184.0,57.0,33.0,4.86,6.59,12.46,2.0,6.0,9.0,345.0,274.0,274.0,7.0,4.92,7.06,7.06,21.77,21.77,20.73
CAR,2024,CAR,CAR,Team Level,5on4,53,0.89,0.89,0.88,15076.0,259.14,30.65,22.04,55.7,8.32,153.39,81.9,27.95,30.65,27.95,235.0,117.0,99.0,451.0,31.0,20.0,2.0,52.0,1.0,133.0,115.0,204.0,321.0,11.0,22.0,152.0,16.0,16.0,50.0,258.0,57.0,37.0,7.14,7.05,16.46,5.0,9.0,17.0,451.0,352.0,352.0,9.0,5.65,2.25,2.25,34.06,34.06,31.38,36.15,3.91,1.87,5.63,1.15,11.36,24.08,3.71,3.91,3.71,38.0,10.0,10.0,58.0,2.0,3.0,1.0,2.0,0.0,7.0,34.0,36.0,46.0,4.0,8.0,126.0,45.0,18.0,33.0,31.0,10.0,7.0,0.73,1.14,2.04,1.0,0.0,1.0,58.0,48.0,48.0,25.0,0.43,0.72,0.72,3.62,3.62,3.59
