team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DAL,2024,DAL,DAL,Team Level,other,49,0.53,0.5,0.49,6952.0,76.22,20.84,5.28,14.26,2.63,38.5,23.5,19.72,20.84,19.72,75.0,30.0,55.0,160.0,20.0,10.0,1.0,17.0,1.0,30.0,27.0,55.0,85.0,3.0,6.0,73.0,18.0,8.0,19.0,48.0,26.0,31.0,1.88,3.43,15.53,3.0,2.0,15.0,160.0,105.0,105.0,7.0,1.51,2.19,2.19,20.16,20.16,19.17,77.59,18.16,5.67,13.38,2.69,46.14,21.97,17.11,18.16,17.11,61.0,47.0,51.0,159.0,14.0,6.0,0.0,10.0,1.0,46.0,31.0,47.0,94.0,2.0,4.0,69.0,26.0,16.0,16.0,54.0,28.0,26.0,2.22,3.47,12.47,2.0,3.0,9.0,159.0,108.0,108.0,7.0,1.65,1.31,1.31,18.5,18.5,17.74
DAL,2024,DAL,DAL,Team Level,all,49,0.55,0.53,0.52,177504.0,1586.64,167.73,105.45,385.7,53.64,838.57,604.9,159.55,168.06,159.9,1474.0,682.0,911.0,3067.0,153.0,182.0,16.0,296.0,8.0,701.0,816.0,1321.0,2003.0,140.0,300.0,1503.0,724.0,244.0,776.0,1499.0,477.0,180.0,44.91,60.73,62.09,52.0,49.0,52.0,3092.02,2156.0,2171.17,380.0,23.57,35.68,35.68,155.61,156.11,152.02,1452.79,138.14,94.46,351.6,47.97,778.99,569.85,133.07,137.85,132.78,1303.0,678.0,730.0,2711.0,120.0,128.0,15.0,276.0,3.0,611.0,843.0,1183.0,1861.0,157.0,338.0,1388.0,1227.0,257.0,781.0,1453.0,379.0,149.0,42.31,45.37,50.46,46.0,42.0,32.0,2688.63,1981.0,1966.14,347.0,20.86,27.0,27.0,132.0,131.6,129.04
DAL,2024,DAL,DAL,Team Level,5on5,49,0.53,0.52,0.51,143322.0,1226.3,108.96,76.59,312.74,41.56,646.09,480.07,105.33,109.29,105.68,1131.0,535.0,717.0,2383.0,104.0,135.0,11.0,225.0,4.0,540.0,658.0,1027.0,1562.0,122.0,262.0,1174.0,669.0,217.0,688.0,1204.0,363.0,99.0,36.39,46.48,26.1,48.0,38.0,18.0,2408.02,1666.0,1681.17,342.0,15.92,23.25,23.82,101.05,101.55,100.04,1177.94,98.17,72.59,297.15,38.77,626.76,473.56,95.22,97.88,94.93,1047.0,560.0,602.0,2209.0,84.0,102.0,14.0,231.0,2.0,482.0,706.0,963.0,1523.0,145.0,314.0,1078.0,1146.0,220.0,696.0,1211.0,300.0,96.0,35.24,35.65,27.28,36.0,34.0,14.0,2186.63,1607.0,1592.14,319.0,15.05,20.89,20.89,92.33,91.93,90.64
DAL,2024,DAL,DAL,Team Level,4on5,49,0.14,0.15,0.18,12446.0,36.6,3.07,1.63,5.61,1.06,11.26,25.37,2.96,3.07,2.96,40.0,8.0,3.0,51.0,2.0,2.0,0.0,6.0,0.0,8.0,30.0,38.0,46.0,4.0,8.0,106.0,22.0,8.0,28.0,34.0,10.0,4.0,0.93,1.16,0.97,0.0,2.0,0.0,51.0,48.0,48.0,25.0,0.38,0.2,0.2,3.25,3.25,3.15,162.41,19.14,14.55,35.46,5.4,95.19,50.26,18.11,19.14,18.11,153.0,67.0,76.0,296.0,18.0,19.0,1.0,33.0,0.0,80.0,70.0,135.0,202.0,8.0,16.0,122.0,18.0,7.0,48.0,156.0,38.0,26.0,4.21,4.52,10.4,6.0,4.0,8.0,296.0,220.0,220.0,3.0,3.78,4.6,4.6,18.31,18.31,17.81
DAL,2024,DAL,DAL,Team Level,5on4,49,0.93,0.91,0.88,14784.0,247.51,34.87,21.95,53.1,8.4,142.72,75.96,31.54,34.87,31.54,228.0,109.0,136.0,473.0,27.0,35.0,4.0,48.0,3.0,123.0,101.0,201.0,310.0,11.0,24.0,150.0,15.0,11.0,41.0,213.0,78.0,46.0,5.71,9.66,19.49,1.0,7.0,19.0,473.0,337.0,337.0,6.0,5.76,10.05,9.47,31.16,31.16,29.66,34.85,2.67,1.65,5.6,1.11,10.91,24.06,2.63,2.67,2.63,42.0,4.0,1.0,47.0,4.0,1.0,0.0,2.0,0.0,3.0,36.0,38.0,42.0,2.0,4.0,119.0,37.0,14.0,21.0,32.0,13.0,1.0,0.64,1.72,0.3,2.0,1.0,1.0,47.0,46.0,46.0,18.0,0.39,0.19,0.19,2.86,2.86,2.85
BUF,2024,BUF,BUF,Team Level,other,49,0.46,0.51,0.52,8675.0,118.27,24.75,8.67,22.0,3.91,64.65,35.02,22.98,24.75,22.98,101.0,58.0,56.0,215.0,19.0,16.0,4.0,21.0,2.0,61.0,40.0,82.0,140.0,7.0,14.0,82.0,24.0,13.0,25.0,86.0,41.0,32.0,3.58,5.17,16.0,4.0,3.0,12.0,215.0,159.0,159.0,11.0,2.5,5.56,6.06,21.19,21.19,20.16,106.54,29.63,7.4,18.29,3.63,55.11,32.94,27.79,29.63,27.79,92.0,55.0,58.0,205.0,33.0,8.0,2.0,11.0,1.0,55.0,39.0,59.0,114.0,5.0,10.0,122.0,24.0,17.0,21.0,71.0,33.0,43.0,2.9,4.08,22.66,6.0,7.0,20.0,205.0,147.0,147.0,14.0,2.13,2.09,2.09,29.68,29.68,27.97
BUF,2024,BUF,BUF,Team Level,all,49,0.47,0.5,0.5,178257.0,1545.98,147.62,104.85,377.21,51.78,846.94,599.6,141.32,147.96,141.66,1360.0,768.0,827.0,2955.0,147.0,157.0,19.0,289.0,5.0,662.0,868.0,1213.0,1981.0,189.0,427.0,1401.0,1047.0,230.0,692.0,1598.0,375.0,155.0,46.51,46.32,54.79,66.0,45.0,36.0,2955.02,2128.0,2128.86,342.0,23.47,33.58,33.58,137.51,137.75,134.5,1553.87,165.03,104.69,374.42,52.25,840.56,606.06,157.0,164.75,156.78,1441.0,702.0,771.0,2914.0,168.0,169.0,32.0,280.0,9.0,693.0,824.0,1273.0,1975.0,189.0,415.0,1505.0,1056.0,256.0,720.0,1560.0,390.0,193.0,45.04,49.53,70.46,53.0,53.0,62.0,2902.5,2143.0,2140.83,347.0,23.23,33.95,34.66,153.6,153.56,149.52
BUF,2024,BUF,BUF,Team Level,5on5,49,0.48,0.5,0.5,141891.0,1178.94,93.18,76.73,303.16,39.8,649.78,472.34,90.2,93.54,90.53,1030.0,605.0,669.0,2304.0,103.0,112.0,12.0,226.0,3.0,501.0,690.0,927.0,1532.0,164.0,377.0,1067.0,962.0,193.0,612.0,1285.0,265.0,85.0,36.19,33.52,23.48,56.0,36.0,11.0,2304.02,1635.0,1635.86,309.0,15.85,22.84,22.43,86.61,86.85,85.5,1193.32,101.79,76.89,305.02,40.28,645.36,476.66,98.16,101.51,97.94,1099.0,547.0,615.0,2261.0,105.0,137.0,26.0,216.0,5.0,530.0,653.0,994.0,1541.0,168.0,373.0,1113.0,981.0,210.0,640.0,1241.0,302.0,103.0,35.29,38.6,27.9,44.0,38.0,23.0,2249.5,1646.0,1643.83,303.0,15.94,26.15,26.52,91.21,91.17,89.82
BUF,2024,BUF,BUF,Team Level,4on5,49,0.11,0.14,0.17,13807.0,43.45,3.74,2.23,6.91,1.38,13.83,29.91,3.59,3.74,3.59,48.0,10.0,6.0,64.0,3.0,5.0,1.0,1.0,0.0,5.0,44.0,45.0,55.0,5.0,10.0,129.0,51.0,12.0,21.0,41.0,12.0,5.0,1.18,1.38,1.18,2.0,0.0,1.0,64.0,58.0,58.0,18.0,0.52,0.86,0.85,3.41,3.41,3.37,210.38,29.93,18.23,44.92,6.94,126.15,65.84,27.43,29.93,27.43,202.0,90.0,93.0,385.0,28.0,22.0,4.0,49.0,2.0,97.0,94.0,174.0,264.0,11.0,22.0,139.0,13.0,16.0,38.0,205.0,44.0,43.0,5.62,5.29,19.03,2.0,7.0,19.0,385.0,292.0,292.0,11.0,4.67,5.57,5.92,28.68,28.68,27.73
BUF,2024,BUF,BUF,Team Level,5on4,49,0.88,0.86,0.83,13884.0,205.33,25.95,17.23,45.14,6.68,118.67,62.34,24.55,25.95,24.55,181.0,95.0,96.0,372.0,22.0,24.0,2.0,41.0,0.0,95.0,94.0,159.0,254.0,13.0,26.0,123.0,10.0,12.0,34.0,186.0,57.0,33.0,5.57,6.26,14.12,4.0,6.0,12.0,372.0,276.0,276.0,4.0,4.6,4.31,4.24,26.32,26.32,25.48,43.63,3.67,2.18,6.18,1.4,13.94,30.62,3.63,3.67,3.63,48.0,10.0,5.0,63.0,2.0,2.0,0.0,4.0,1.0,11.0,38.0,46.0,56.0,5.0,10.0,131.0,38.0,13.0,21.0,43.0,11.0,4.0,1.23,1.57,0.87,1.0,1.0,0.0,63.0,58.0,58.0,19.0,0.5,0.14,0.14,4.03,4.03,3.99
