playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2024,Igor Shesterkin,NYR,G,other,46,3580.0,11.98,12.0,119.0,5.58,8.0,15.12,8.0,72.98,65.0,1.46,0.0,38.59,35.0,21.27,32.0,10.85,53.0,24.0,18.0,2.06,3.05,6.87,4.0,0.0,8.0,24.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,all,46,157052.0,140.58,126.0,2755.0,101.22,153.0,350.88,249.0,1464.0,1328.0,44.75,3.0,780.87,589.0,559.99,862.0,133.24,1429.0,383.0,170.0,40.15,48.23,52.2,45.0,49.0,32.0,773.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,5on5,46,127419.0,100.36,94.0,2198.0,73.35,112.0,282.3,195.0,1139.21,1033.0,35.12,3.0,606.99,443.0,451.07,706.0,96.23,1146.0,293.0,113.0,32.25,36.77,31.34,38.0,41.0,15.0,646.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,4on5,46,14684.0,25.66,18.0,392.0,21.06,32.0,49.81,45.0,224.39,205.0,1.65,0.0,126.94,106.0,68.23,97.0,23.61,203.0,59.0,37.0,4.99,7.51,13.16,2.0,7.0,9.0,93.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,5on4,46,11369.0,2.58,2.0,46.0,1.24,1.0,3.65,1.0,27.43,25.0,6.52,0.0,8.34,5.0,19.41,27.0,2.56,27.0,7.0,2.0,0.85,0.9,0.83,1.0,1.0,0.0,10.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,other,25,3122.0,6.44,6.0,90.0,3.74,4.0,9.68,12.0,46.14,41.0,1.15,1.0,28.16,25.0,13.29,16.0,5.68,33.0,23.0,7.0,1.19,2.77,2.48,1.0,4.0,1.0,27.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,all,25,77817.0,60.48,68.0,1227.0,44.04,53.0,153.6,141.0,645.72,608.0,23.28,1.0,355.82,288.0,253.53,339.0,57.25,647.0,187.0,55.0,19.22,22.94,18.32,36.0,21.0,11.0,338.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,5on5,25,63406.0,39.66,45.0,978.0,32.27,41.0,125.34,107.0,502.68,471.0,18.08,0.0,276.17,223.0,204.8,279.0,38.13,536.0,129.0,30.0,15.43,15.83,8.4,31.0,11.0,3.0,283.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,4on5,25,5206.0,12.92,16.0,130.0,7.18,7.0,15.85,21.0,78.96,77.0,0.25,0.0,45.62,39.0,22.91,24.0,11.99,62.0,27.0,18.0,2.16,3.32,7.45,4.0,5.0,7.0,23.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,5on4,25,6083.0,1.46,1.0,29.0,0.86,1.0,2.72,1.0,17.94,19.0,3.8,0.0,5.87,1.0,12.53,20.0,1.45,16.0,8.0,0.0,0.44,1.02,0.0,0.0,1.0,0.0,5.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,other,22,1814.0,4.73,8.0,51.0,1.76,1.0,5.25,4.0,25.46,22.0,0.63,0.0,12.85,10.0,8.52,10.0,4.22,17.0,10.0,7.0,0.76,1.17,2.8,2.0,2.0,4.0,17.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,all,22,72607.0,54.36,66.0,1181.0,40.04,57.0,151.55,113.0,616.48,558.0,20.68,0.0,326.51,294.0,245.76,308.0,52.18,618.0,170.0,51.0,17.83,20.33,16.2,29.0,27.0,10.0,342.0,4.0,2.0
8478971,2024,Connor Ingram,UTA,G,5on5,22,60590.0,40.09,43.0,934.0,29.21,41.0,123.14,90.0,484.11,440.0,17.24,0.0,256.23,238.0,196.15,249.0,38.86,501.0,122.0,38.0,14.63,14.68,10.78,23.0,16.0,4.0,273.0,2.0,1.0
8478971,2024,Connor Ingram,UTA,G,4on5,22,5558.0,7.41,11.0,163.0,8.09,14.0,19.84,19.0,84.69,74.0,0.42,0.0,49.79,39.0,26.8,32.0,7.02,82.0,28.0,5.0,1.82,3.24,2.35,3.0,6.0,2.0,48.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,5on4,22,4645.0,1.4,2.0,23.0,0.64,1.0,2.13,0.0,15.88,18.0,2.15,0.0,4.91,4.0,11.45,14.0,1.36,15.0,5.0,1.0,0.51,0.63,0.27,1.0,1.0,0.0,2.0,2.0,1.0
8480193,2024,Daniil Tarasov,CBJ,G,other,16,1328.0,5.66,6.0,46.0,2.13,5.0,5.42,7.0,29.31,27.0,0.14,0.0,16.01,13.0,8.65,8.0,4.3,17.0,12.0,10.0,0.63,1.53,3.5,2.0,2.0,2.0,7.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,all,16,57901.0,53.95,57.0,988.0,36.18,67.0,127.01,76.0,531.98,487.0,16.47,1.0,291.7,223.0,202.22,305.0,50.66,506.0,164.0,59.0,15.42,20.76,17.77,20.0,28.0,9.0,259.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,5on5,16,48710.0,38.82,41.0,806.0,27.24,53.0,104.89,60.0,420.84,372.0,13.76,0.0,228.38,173.0,163.59,250.0,37.4,417.0,123.0,37.0,12.39,15.45,10.98,15.0,21.0,5.0,229.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,4on5,16,3962.0,8.19,8.0,115.0,6.15,9.0,14.57,8.0,67.89,71.0,0.49,0.0,42.42,34.0,21.34,35.0,7.68,60.0,24.0,11.0,2.02,3.13,3.04,2.0,4.0,2.0,20.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,5on4,16,3901.0,0.73,2.0,13.0,0.41,0.0,1.21,0.0,9.3,11.0,1.87,1.0,2.93,2.0,6.47,8.0,0.73,8.0,4.0,0.0,0.22,0.51,0.0,1.0,1.0,0.0,1.0,0.0,0.0
