lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84746008482482,2024,Josi/Wilsby,NSH,pairing,5on5,17,1988.0,121.0,0.41,0.59,0.49,16.73,0.89,0.99,4.14,0.56,10.29,7.13,0.87,0.88,0.86,20.0,4.0,19.0,43.0,0.0,1.0,0.0,9.0,0.0,7.0,7.0,20.0,24.0,1.0,2.0,15.0,11.0,4.0,7.0,22.0,2.0,0.0,0.66,0.23,0.0,0.0,0.0,0.0,42.09,24.0,23.91,5.0,0.2,0.14,0.14,0.95,0.94,0.93,18.04,1.26,1.02,4.55,0.6,9.69,7.87,1.24,1.26,1.23,17.0,8.0,5.0,30.0,4.0,0.0,0.0,2.0,0.0,10.0,9.0,13.0,21.0,2.0,4.0,8.0,9.0,4.0,11.0,19.0,5.0,1.0,0.49,0.57,0.21,3.0,1.0,0.0,30.11,25.0,25.0,9.0,0.21,0.0,0.0,1.48,1.47,1.44
84774888478399,2024,Siegenthaler/Pesce,NJD,pairing,5on5,34,2036.0,257.0,0.59,0.42,0.41,8.32,0.91,0.55,2.03,0.29,3.85,3.38,0.89,0.94,0.92,8.0,3.0,6.0,17.0,0.0,2.0,0.0,1.0,0.0,2.0,6.0,8.0,11.0,3.0,9.0,4.0,12.0,3.0,11.0,7.0,2.0,2.0,0.19,0.24,0.48,0.0,0.0,0.0,17.03,11.0,11.06,6.0,0.12,0.48,0.48,0.54,0.56,0.56,11.01,0.63,0.63,2.68,0.36,6.74,4.96,0.63,0.63,0.63,10.0,6.0,7.0,23.0,2.0,0.0,0.0,1.0,0.0,4.0,9.0,8.0,14.0,6.0,15.0,6.0,8.0,4.0,8.0,15.0,1.0,0.0,0.5,0.13,0.0,2.0,0.0,0.0,23.54,16.0,16.25,5.0,0.13,0.0,0.0,0.76,0.76,0.76
84815468482142,2024,York/Drysdale,PHI,pairing,5on5,26,1472.0,222.0,0.42,0.54,0.47,10.06,0.87,0.71,2.62,0.41,5.89,4.51,0.83,0.88,0.85,9.0,6.0,12.0,27.0,0.0,1.0,0.0,2.0,0.0,6.0,6.0,9.0,15.0,1.0,2.0,8.0,10.0,0.0,4.0,12.0,2.0,1.0,0.32,0.17,0.38,0.0,0.0,0.0,26.92,15.0,14.91,2.0,0.15,0.38,0.38,0.64,0.63,0.63,11.58,1.2,0.86,2.7,0.45,6.58,5.2,1.2,1.22,1.21,10.0,7.0,6.0,23.0,3.0,1.0,0.0,0.0,0.0,5.0,8.0,7.0,14.0,1.0,2.0,4.0,8.0,3.0,8.0,12.0,4.0,1.0,0.41,0.44,0.36,1.0,2.0,0.0,23.61,17.0,17.28,3.0,0.18,0.36,0.36,1.02,1.02,1.02
84793258479369,2024,McAvoy/Peeke,BOS,pairing,5on5,32,1427.0,277.0,0.46,0.37,0.39,9.16,0.67,0.53,2.34,0.27,4.38,3.8,0.64,0.65,0.62,9.0,3.0,2.0,14.0,0.0,1.0,0.0,4.0,0.0,1.0,6.0,9.0,12.0,2.0,4.0,2.0,8.0,3.0,3.0,10.0,1.0,1.0,0.24,0.09,0.34,0.0,0.0,0.0,13.73,12.0,11.89,1.0,0.11,0.34,0.34,0.44,0.43,0.43,13.56,0.8,0.7,3.24,0.43,7.4,6.43,0.8,0.81,0.81,12.0,7.0,5.0,24.0,3.0,0.0,0.0,2.0,0.0,4.0,10.0,9.0,16.0,1.0,2.0,0.0,8.0,1.0,7.0,16.0,3.0,0.0,0.38,0.42,0.0,1.0,2.0,0.0,24.47,19.0,19.59,3.0,0.14,0.0,0.0,0.94,0.96,0.96
847687884774268479591,2024,Girgensons/Paul/Eyssimont,TBL,line,5on5,9,1084.0,130.0,0.21,0.44,0.5,5.66,0.29,0.45,1.5,0.3,4.18,3.28,0.29,0.32,0.32,4.0,6.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,4.0,10.0,1.0,2.0,4.0,18.0,1.0,7.0,9.0,1.0,0.0,0.17,0.12,0.0,0.0,0.0,0.0,13.28,10.0,10.93,3.0,0.09,0.01,0.01,0.38,0.41,0.41,7.76,1.08,0.6,1.79,0.23,3.7,2.59,1.08,1.02,1.02,6.0,4.0,5.0,15.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,6.0,10.0,0.0,0.0,6.0,12.0,2.0,5.0,4.0,4.0,2.0,0.05,0.5,0.53,0.0,0.0,0.0,13.93,10.0,9.36,2.0,0.13,0.0,0.0,1.21,1.14,1.14
847745084779878479315,2024,Donato/Dickinson/Anderson,CHI,line,5on5,3,838.0,27.0,0.34,0.48,0.36,3.66,0.16,0.19,1.3,0.11,1.91,1.32,0.16,0.17,0.17,4.0,1.0,6.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,1.0,2.0,10.0,3.0,1.0,1.0,5.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,11.7,5.0,5.0,0.0,0.04,0.0,0.0,0.2,0.21,0.21,6.08,0.32,0.35,1.42,0.22,3.68,3.02,0.31,0.31,0.31,7.0,2.0,3.0,12.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,9.0,0.0,0.0,10.0,8.0,1.0,3.0,7.0,2.0,0.0,0.13,0.19,0.0,0.0,0.0,0.0,11.44,9.0,8.64,1.0,0.07,0.0,0.0,0.39,0.38,0.38
847906684792918481592,2024,Pelletier/Rooney/Lomberg,CGY,line,5on5,8,1428.0,58.0,0.49,0.44,0.44,11.58,1.19,0.69,3.19,0.4,6.29,4.25,1.17,1.14,1.12,12.0,4.0,2.0,18.0,1.0,3.0,1.0,3.0,0.0,4.0,5.0,11.0,15.0,2.0,4.0,7.0,23.0,4.0,5.0,12.0,1.0,3.0,0.24,0.1,0.86,0.0,0.0,1.0,17.81,16.0,15.75,4.0,0.14,0.86,0.86,0.48,0.47,0.47,14.22,1.26,0.86,3.6,0.44,7.99,5.85,1.23,1.22,1.19,14.0,6.0,3.0,23.0,0.0,2.0,0.0,5.0,0.0,6.0,7.0,14.0,20.0,2.0,4.0,11.0,4.0,3.0,7.0,17.0,1.0,2.0,0.58,0.1,0.59,0.0,0.0,0.0,22.43,20.0,19.47,1.0,0.18,0.45,0.45,0.99,0.98,0.98
847757384800748480281,2024,Texier/Walker/Toropchenko,STL,line,5on5,8,1962.0,70.0,0.49,0.62,0.56,15.8,1.12,1.03,4.6,0.56,8.68,6.01,1.09,1.17,1.13,13.0,9.0,14.0,36.0,3.0,3.0,2.0,5.0,0.0,7.0,4.0,10.0,19.0,3.0,9.0,19.0,21.0,0.0,7.0,17.0,5.0,0.0,0.39,0.73,0.0,1.0,2.0,0.0,38.03,22.0,23.14,2.0,0.21,0.49,0.49,0.85,0.88,0.86,12.58,1.17,0.84,3.15,0.45,6.57,4.83,1.17,1.15,1.15,14.0,3.0,5.0,22.0,1.0,0.0,0.0,2.0,0.0,5.0,9.0,13.0,16.0,2.0,7.0,12.0,17.0,3.0,8.0,11.0,5.0,1.0,0.24,0.7,0.23,1.0,0.0,0.0,21.92,17.0,17.03,5.0,0.18,0.0,0.0,1.34,1.32,1.32
847515184757548478115,2024,Engvall/Nelson/Palmieri,NYI,line,5on5,17,1611.0,173.0,0.21,0.28,0.28,10.41,0.7,0.59,3.0,0.36,5.42,3.94,0.69,0.66,0.65,11.0,3.0,4.0,18.0,0.0,3.0,0.0,0.0,0.0,4.0,7.0,11.0,14.0,2.0,4.0,8.0,6.0,5.0,5.0,12.0,1.0,1.0,0.27,0.14,0.28,0.0,0.0,0.0,17.13,14.0,13.26,2.0,0.12,0.33,0.33,0.49,0.46,0.46,26.44,2.65,1.76,6.7,0.87,14.28,9.75,2.57,2.68,2.61,26.0,10.0,10.0,46.0,2.0,5.0,1.0,3.0,0.0,16.0,10.0,24.0,34.0,2.0,4.0,9.0,16.0,7.0,3.0,24.0,10.0,2.0,0.52,1.5,0.62,1.0,0.0,1.0,48.91,36.0,37.27,1.0,0.37,1.14,1.14,1.87,1.91,1.9
84751798477220,2024,Kulikov/Schmidt,FLA,pairing,5on5,45,3441.0,326.0,0.39,0.45,0.39,13.43,0.81,0.78,3.34,0.44,7.66,5.96,0.81,0.85,0.85,11.0,8.0,15.0,34.0,2.0,0.0,0.0,7.0,0.0,6.0,4.0,9.0,17.0,2.0,4.0,14.0,19.0,9.0,16.0,17.0,1.0,1.0,0.49,0.1,0.22,2.0,0.0,0.0,35.8,19.0,19.74,8.0,0.16,0.0,0.0,0.97,1.02,1.02,20.76,1.25,1.15,5.44,0.68,12.32,9.17,1.25,1.29,1.28,17.0,13.0,11.0,41.0,1.0,1.0,0.0,5.0,0.0,9.0,14.0,16.0,29.0,2.0,4.0,11.0,28.0,6.0,17.0,26.0,3.0,1.0,0.58,0.32,0.35,1.0,0.0,0.0,41.79,30.0,30.37,8.0,0.23,0.12,0.12,1.37,1.4,1.39
