playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2024,Igor Shesterkin,NYR,G,other,39,3264.0,9.96,10.0,100.0,4.7,6.0,12.38,5.0,61.0,54.0,1.33,0.0,32.89,29.0,18.0,30.0,9.19,45.0,21.0,14.0,1.65,2.65,5.67,3.0,0.0,7.0,20.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,all,39,134229.0,119.12,107.0,2347.0,86.22,131.0,301.16,208.0,1253.58,1135.0,38.71,3.0,668.88,512.0,478.0,735.0,112.92,1222.0,331.0,142.0,33.91,41.45,43.77,36.0,47.0,24.0,652.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,5on5,39,108757.0,86.3,80.0,1878.0,62.77,97.0,243.79,168.0,980.33,887.0,30.21,3.0,520.74,380.0,385.73,606.0,82.71,978.0,257.0,97.0,27.13,32.26,26.92,31.0,39.0,10.0,546.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,4on5,39,12341.0,20.85,15.0,329.0,17.77,27.0,41.89,34.0,189.28,173.0,1.37,0.0,108.27,99.0,57.99,77.0,19.04,175.0,49.0,29.0,4.42,6.07,10.35,1.0,7.0,7.0,76.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,5on4,39,9867.0,2.01,2.0,40.0,0.98,1.0,3.09,1.0,22.98,21.0,5.81,0.0,6.98,4.0,16.28,22.0,1.98,24.0,4.0,2.0,0.71,0.47,0.83,1.0,1.0,0.0,10.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,other,17,2040.0,6.63,9.0,61.0,2.35,7.0,6.76,2.0,32.94,30.0,0.66,0.0,16.29,17.0,9.85,8.0,5.73,21.0,10.0,12.0,0.72,1.22,4.69,1.0,3.0,5.0,18.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,all,17,56465.0,45.95,45.0,872.0,30.32,52.0,110.86,94.0,457.97,412.0,13.84,1.0,243.47,202.0,181.97,234.0,43.18,457.0,115.0,56.0,12.73,14.45,18.76,13.0,17.0,15.0,244.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,5on5,17,45490.0,29.25,26.0,684.0,22.33,37.0,90.92,79.0,354.93,315.0,10.22,1.0,191.29,156.0,145.14,192.0,27.93,382.0,77.0,32.0,10.66,9.53,9.06,10.0,10.0,6.0,193.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,4on5,17,4279.0,8.42,8.0,102.0,4.82,6.0,10.57,12.0,53.75,47.0,0.25,0.0,30.28,26.0,16.21,20.0,7.9,40.0,22.0,10.0,0.85,3.04,4.53,1.0,3.0,4.0,30.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,5on4,17,4656.0,1.33,1.0,21.0,0.65,2.0,1.97,1.0,13.16,17.0,2.61,0.0,4.36,3.0,9.23,11.0,1.31,12.0,4.0,2.0,0.41,0.44,0.48,1.0,0.0,0.0,3.0,0.0,0.0
8478872,2024,Karel Vejmelka,UTA,G,other,34,2773.0,6.62,5.0,89.0,3.29,4.0,9.56,10.0,48.12,46.0,0.72,0.0,26.83,21.0,16.03,24.0,6.02,38.0,15.0,11.0,1.35,1.94,3.33,1.0,1.0,3.0,25.0,0.0,0.0
